Factor_1	Factor_2	Factor_3
-0.2269704782355437	-0.685548831972912	-0.8418963032461042
0.015250910222047036	-0.9882474449235996	0.05642323957566557
-0.29095984292432164	-0.6961990734335903	-0.6375510592598863
-0.7476101114153179	-0.7080618832700701	-0.2469395338175493
-0.6479968774367987	-0.7017744278987051	-0.29172626834278265
-0.5468276804922146	-0.9061451955125828	0.21079963634061002
-0.14152235458467666	-0.6892296679615052	-0.055610168821659436
0.1592120610041447	-0.7345327027342347	0.012452700520811497
0.34561055736165147	-0.9000983425615441	0.7895518008270067
-0.04937669742597557	-0.7003470760158549	0.12711290056883243
0.07995463278719533	-0.6513741731913324	-0.06011659679334583
-0.06281770076855249	-0.7208013016565417	-0.023968888386502626
-0.3464961104066699	-0.657653214007205	0.22575917597268572
-0.09008294495643802	-0.8025141837832108	0.8813151528950981
0.14988933153122397	-0.7693876377596722	0.7450780456774926
-0.10182543693165234	-0.8235960042508476	0.9730767129108239
-0.4134006224960413	-0.677530147937833	0.9046589943760547
0.2210922176982842	-0.8325804961957081	0.9839761165413264
-0.2693681892717021	-0.540649416554951	1.2789251387956064
0.15343200595405532	-0.8907817268298847	1.06023894692769
0.5344190776959166	-0.9724630102328482	1.4304741576241309
0.324163799242008	-0.8760519554020225	0.9365234251660065
0.39778737981075285	-0.8531064215258922	0.9799299738424216
0.5054853244436904	-0.968870776285888	1.2435330190660785
0.35752041303324994	-0.9110526771693972	1.0710697910670364
0.1786873368521924	-0.6686249177383956	1.2612978662205714
0.25253286777071027	-0.8647716422092692	1.1130566233371801
0.18104040092834697	-0.5583085795406003	0.9557045613523786
0.2507444157123673	-0.7123580434791703	0.5234319895443603
0.17183486957019478	-0.6113176853994204	0.3618681048276417
0.4251597093675671	-0.8686139819643058	1.411892438846894
0.3573741618539162	-0.7911075094658431	0.7931823827000926
0.21146420737700017	-0.3536186840598433	1.3275049566401582
0.439551453692221	-0.8605100130174693	1.2295028310257043
0.2977158605071513	-0.3669198764228542	0.9039435600810116
0.11104550177111705	-0.9293230986571084	0.5480649279825583
0.046927874525167806	-0.8787509195660878	0.682561306944098
-0.22609036447264816	-0.8739449458823569	0.6973136917220104
-0.3220423823980802	-0.8067499070755563	0.6874277361959186
-1.8402404879088987	-0.006221708753076832	-0.2360988053836224
-1.96440673977119	0.13872275288311714	-0.6164808094872272
-0.9669101437772444	-0.621747899721451	-0.04273445980288347
-0.8698623582583183	-0.79647321131852	0.41811602883871196
-0.8397955978643591	-0.828301013233018	0.457653881063121
-0.486332129573553	-0.939296729805831	0.5317578392025278
-0.4113104165353734	-1.0736905368267793	0.8201205397249156
-0.3764161465418668	-1.0586849677184988	0.889916020438317
0.07498902435519098	-1.1024843508131836	0.7608513559646783
0.35431693885991494	-1.3621743351021118	1.6474912441066265
-0.19291247054326727	-1.1639249028870615	1.0816684328052002
-0.8141870976615739	-0.7494357450037162	0.5327468320247823
-0.7131253578517388	-0.7267261817870595	0.22060246205208597
-1.1970226957897876	-0.5097654389426903	-0.0898479699597958
-1.1100940240992925	-0.6683190112492402	0.39881846488224565
-1.8349422104005466	0.13561309946156705	1.2354340071952934
-2.613385265915752	0.40353794573074053	-0.5787080571554154
-2.375830042688638	0.11498463451664241	-0.003003927253932498
-2.4054458798392093	0.3815817509332403	-0.9395817224630024
-1.4009276057119657	-0.29302490439264367	0.7398434968755171
-1.052531875261566	-0.448144123637718	0.8736760231545059
-0.8478698575047378	-0.5470188965727887	1.1144083487780654
-0.5592234381248038	-0.5018243375722204	0.8699926863968779
-0.9718676946721577	-0.330232745339329	0.35460290787369986
-1.301232538496257	-0.17716807121813688	0.3593009790844253
-1.3022136204244672	-0.5216664322183915	0.0005819635422411537
-2.0986691461982714	0.15272843825382737	-0.29398261278974214
-1.8581498350058867	-0.04282301058922987	0.2363246986279956
-1.0987839642966288	-0.6016459424432231	0.8967444515518137
-0.8647216437008227	-0.7375991230626454	1.240220479026423
-0.9799291662616749	-0.6292427454364856	0.8821295795531885
-0.8676460957086832	-0.5622744376576596	0.5096953224274526
-0.6942504600692176	-0.7034642038803385	0.9185127657019293
-0.8308997599786375	-0.6839153713230944	0.7256026181480539
-0.8567191814029647	-0.586718861741178	0.6602761770969167
